站点名称,主办单位名称,网站名称,目标地址,目标AS域,下行流量,上行流量,总流量
122.137.231.38:49155,,,122.137.231.38,吉林省联通,234.806M,7.131M,241.937M
119.49.154.226:49155,,,119.49.154.226,吉林省联通,236.69M,5.144M,241.834M
youku.hao-yongjiu.com,,,172.247.77.171,美国,240.659M,1.115M,241.773M
valipl-p-device.cp31.ott.cibntv.net,,,119.167.173.240,山东省联通,232.828M,8.796M,241.624M
139.215.127.75:49155,,,139.215.127.75,吉林省联通,229.142M,12.16M,241.302M
ar.player.nf01.sycdn.kuwo.cn,,,119.188.86.208,山东省联通,225.168M,16.085M,241.253M
222.162.186.148:49155,,,222.162.186.148,吉林省联通,235.442M,5.766M,241.208M
60.5.240.43:12300,,,60.5.240.43,河北省联通,229.506M,9.784M,239.289M
image.xmanhua.com,,,104.27.151.187,其他国家,234.03M,3.769M,237.799M
image.faxingwu.com,,,219.83.162.18,北京市北龙中网,227.027M,10.183M,237.21M
222.161.143.135:49155,,,222.161.143.135,吉林省联通,226.867M,8.776M,235.643M
218.26.2.166:12140,,,218.26.2.166,山西省联通,227.755M,7.847M,235.602M
116.95.24.9,,,116.95.24.9,内蒙古联通,234.122M,1.314M,235.436M
42.7.53.4,,,42.7.53.4,辽宁省联通,224.516M,9.802M,234.319M
139.208.11.23:49155,,,139.208.11.23,吉林省联通,227.676M,6.625M,234.301M
mtrace.qq.com,,,61.181.203.251,天津市联通,43.479M,190.216M,233.695M
videocdn.dlyilian.com:8091,,,89.187.186.62,其他国家,222.19M,10.634M,232.825M
v.weishi.qq.com,,,42.56.64.202,辽宁省联通,224.988M,7.237M,232.226M
116.95.24.15,,,116.95.24.15,内蒙古联通,219.656M,11.764M,231.421M
122.140.92.188:8001,,,122.140.92.188,吉林省联通,230.434M,43.985K,230.478M
122.137.57.207:49155,,,122.137.57.207,吉林省联通,224.109M,4.886M,228.995M
222.160.104.185:1443,,,222.160.104.185,吉林省联通,216.333M,12.085M,228.419M
122.136.166.251:49155,,,122.136.166.251,吉林省联通,220.004M,7.505M,227.509M
122.137.230.168:49155,,,122.137.230.168,吉林省联通,211.472M,14.321M,225.793M
182.112.154.83:1443,,,182.112.154.83,河南省联通,213.824M,11.57M,225.393M
119.50.105.19:49155,,,119.50.105.19,吉林省联通,217.962M,7.133M,225.095M
164.132.171.23,,,164.132.171.23,其他国家,215.386M,9.346M,224.732M
short.weixin.qq.com,,,223.166.152.101,上海市联通,209.734M,14.922M,224.655M
1.245.74.5:1935,,,1.245.74.5,韩国,191.315M,31.7M,223.015M
704-5.vod.tv.itc.cn,,,101.28.249.187,河北省联通,217.681M,5.287M,222.968M
61.224.156.131,,,61.224.156.131,台湾,214.653M,8.267M,222.921M
mt2.google.cn,,,203.208.43.81,北京市Google中国,204.631M,17.196M,221.827M
njtg.nercita.org.cn,,,123.127.160.27,其他国家,200.262M,19.889M,220.15M
alimov2.a.yximgs.com,,,139.215.240.238,吉林省联通,207.772M,11.43M,219.202M
119.49.122.91:49155,,,119.49.122.91,吉林省联通,212.83M,6.316M,219.146M
119.178.190.140:1443,,,119.178.190.140,山东省联通,207.366M,11.512M,218.878M
58.245.235.73:1443,,,58.245.235.73,吉林省联通,216.62M,0,216.62M
119.49.218.41:49155,,,119.49.218.41,吉林省联通,207.538M,8.236M,215.774M
222.161.140.145:49155,,,222.161.140.145,吉林省联通,210.491M,4.879M,215.37M
116.153.3.119,,,116.153.3.119,北京市联通,203.389M,10.184M,213.573M
119.49.214.138:49155,,,119.49.214.138,吉林省联通,201.643M,11.012M,212.655M
139.208.51.124:49155,,,139.208.51.124,吉林省联通,207.908M,3.684M,211.592M
116.153.3.108,,,116.153.3.108,北京市联通,204.733M,5.74M,210.473M
222.162.185.200:49155,,,222.162.185.200,吉林省联通,202.979M,7.306M,210.285M
220.194.93.12:8080,,,220.194.93.12,天津市联通,4.574M,205.438M,210.013M
122.137.230.197:49155,,,122.137.230.197,吉林省联通,204.75M,4.614M,209.364M
119.50.110.196:49155,,,119.50.110.196,吉林省联通,205.79M,2.697M,208.488M
42.57.79.109:1444,,,42.57.79.109,辽宁省联通,197.283M,10.625M,207.908M
extshort.weixin.qq.com,,,116.128.171.105,北京市联通,140.734M,65.515M,206.249M
pull-flv-l6.douyincdn.com,,,42.87.68.120,辽宁省联通,196.025M,6.434M,202.46M
222.162.185.214:49155,,,222.162.185.214,吉林省联通,196.261M,6.164M,202.426M
douban.donghongzuida.com,,,45.13.92.139,其他国家,184.655M,15.738M,200.392M
60.5.240.42:12300,,,60.5.240.42,河北省联通,188.248M,11.756M,200.005M
122.136.141.100:49155,,,122.136.141.100,吉林省联通,191.469M,7.501M,198.97M
60.23.81.151:1443,,,60.23.81.151,辽宁省联通,99.3M,99.204M,198.503M
120.92.75.119,,,120.92.75.119,建省福州市有线宽带,190.514M,6.356M,196.871M
net.domain.name,,,199.59.242.153,美国,180.783M,16.073M,196.856M
211.97.73.204,,,211.97.73.204,广西联通,192.221M,3.376M,195.597M
119.50.105.202:49155,,,119.50.105.202,吉林省联通,186.446M,7.941M,194.387M
42.7.53.9,,,42.7.53.9,辽宁省联通,182.162M,11.83M,193.993M
txmov2.a.yximgs.com,,,175.21.254.59,吉林省联通,182.29M,10.574M,192.864M
videocdn2.quweikm.com:8091,,,89.187.186.151,其他国家,183.948M,8.385M,192.333M
115.57.125.148,,,115.57.125.148,河南省联通,188.537M,3.635M,192.172M
218.26.2.162:12140,,,218.26.2.162,山西省联通,186.09M,5.918M,192.008M
wxapp.tc.qq.com,,,210.76.57.254,黑龙江省联通,183.949M,7.756M,191.705M
txdwkmov.a.yximgs.com,,,175.22.48.156,吉林省联通,181.102M,9.449M,190.551M
122.143.8.41,,,122.143.8.41,吉林省联通,187.838M,2.665M,190.502M
139.208.50.203:49155,,,139.208.50.203,吉林省联通,181.45M,8.191M,189.641M
good.jieshuo-okzy.com,,,45.13.93.35,其他国家,174.969M,14.231M,189.2M
us_la_8.kuto.fun,,,104.24.116.99,其他国家,172.801M,15.448M,188.249M
119.49.152.244:49155,,,119.49.152.244,吉林省联通,182.593M,5.466M,188.059M
v5-dy-e.ixigua.com,,,139.209.206.102,吉林省联通,180.541M,7.512M,188.053M
122.136.167.62:49155,,,122.136.167.62,吉林省联通,179.46M,8.181M,187.64M
222.162.186.201:49155,,,222.162.186.201,吉林省联通,183.716M,3.702M,187.418M
704-2.vod.tv.itc.cn,,,101.28.249.179,河北省联通,180.27M,6.183M,186.452M
119.114.240.235:1443,,,119.114.240.235,辽宁省联通,176.103M,10.312M,186.415M
222.162.187.34:49155,,,222.162.187.34,吉林省联通,177.769M,4.915M,182.684M
scs.openspeech.cn,,,220.248.230.134,安徽省联通,19.121M,163.039M,182.16M
699-11.vod.tv.itc.cn,,,124.95.136.16,辽宁省联通,177M,3.766M,180.766M
139.208.118.36:49155,,,139.208.118.36,吉林省联通,173.49M,6.658M,180.148M
5.135.137.47,,,5.135.137.47,其他国家,174.524M,5.205M,179.728M
ali-p1.yximgs.com,,,1.189.44.226,黑龙江省联通,170.3M,9.283M,179.583M
xianxia.wuxiantao.net,,,124.95.191.196,辽宁省联通,170.478M,9.063M,179.541M
cdnzmr.13yx.top,,,182.18.83.73,北京市联通,172.213M,6.969M,179.182M
175.171.84.212:61900,,,175.171.84.212,辽宁省联通,168.73M,8.049M,176.78M
122.136.138.108:49155,,,122.136.138.108,吉林省联通,168.995M,6.784M,175.779M
139.215.125.248:49155,,,139.215.125.248,吉林省联通,158.974M,16.699M,175.673M
vote.cnjiwang.com,,,119.53.210.98,吉林省联通,161.844M,12.745M,174.589M
113.0.165.14,,,113.0.165.14,黑龙江省联通,170.404M,3.858M,174.262M
sjxj2.haowusong.com,,,124.95.191.195,辽宁省联通,164.842M,8.213M,173.055M
pp.myapp.com,,,218.24.83.77,辽宁省联通,164.604M,7.865M,172.468M
12.cdl4-pcgame.720582.com:8090,,,37.187.127.197,其他国家,157.75M,14.447M,172.197M
60.218.173.6:16238,,,60.218.173.6,黑龙江省联通,159.262M,12.245M,171.506M
xigua-cdn.haima-zuida.com,,,193.46.241.140,其他国家,164.477M,6.905M,171.382M
116.153.3.124,,,116.153.3.124,北京市联通,165.454M,5.367M,170.82M
blizzard.gcdn.cloudn.co.kr,,,110.45.217.196,韩国,165.545M,4.666M,170.211M
58.247.204.56,,,58.247.204.56,上海市联通,165.056M,5.062M,170.118M
139.208.110.45:49155,,,139.208.110.45,吉林省联通,166.667M,2.757M,169.424M
222.162.186.214:49155,,,222.162.186.214,吉林省联通,166.493M,2.611M,169.104M
119.49.209.73:49155,,,119.49.209.73,吉林省联通,163.64M,5.157M,168.796M
704-8.vod.tv.itc.cn,,,101.28.249.193,河北省联通,163.685M,4.122M,167.806M
119.167.131.26,,,119.167.131.26,山东省联通,164.11M,2.797M,166.906M
kukong.hismarttv.com,,,40.73.1.11,美国,11.985M,153.769M,165.754M
adserverlb-1050063975.us-east-1.elb.amazonaws.com,,,50.16.248.89,美国,159.233M,6.378M,165.611M
175.22.245.64:49155,,,175.22.245.64,吉林省联通,161.323M,3.262M,164.585M
119.50.104.116:49155,,,119.50.104.116,吉林省联通,158.433M,5.626M,164.058M
sjymov.a.yximgs.com,,,119.188.44.213,山东省联通,155.994M,7.765M,163.759M
42.7.53.6,,,42.7.53.6,辽宁省联通,157.83M,5.088M,162.918M
down.avkdimage.com:48011,,,54.39.49.159,美国,153.596M,8.656M,162.252M
6xiaz.com,,,104.21.235.131,其他国家,152.806M,8.972M,161.778M
03.cdl8-pcgame.720582.com:8090,,,37.187.120.208,其他国家,144.492M,15.878M,160.371M
dev.voicecloud.cn,,,42.62.116.18,广东省佛山市盈辉在线网络有限公司,142.214M,16.758M,158.971M
tukuimg.bdstatic.com,,,116.136.132.35,北京市联通,153.773M,4.696M,158.469M
