设备地址,站点名称,目标地址,目标AS域,下行流量,上行流量,总流量,下行流量-新,上行流量-新,总流量-新
,134.175.120.50:4007,134.175.120.50,其他国家,0,30.481K,30.481K,0G,3.0481000000000002e-05G,3.0481000000000002e-05G
,report5.haowanyou.com,118.25.162.202,香港,0,30.48K,30.48K,0G,3.048e-05G,3.048e-05G
,info.10010.com,182.254.53.176,腾讯,0,30.459K,30.459K,0G,3.0459e-05G,3.0459e-05G
,portal.cdeledu.com,140.143.179.243,河南省郑州市景安计算机网络,0,30.434K,30.434K,0G,3.0434000000000004e-05G,3.0434000000000004e-05G
,log.icefoxgame.com,118.25.150.44,香港,0,30.411K,30.411K,0G,3.0411e-05G,3.0411e-05G
,softimtt.myapp.com,182.254.59.187,腾讯,0,30.382K,30.382K,0G,3.0382e-05G,3.0382e-05G
,d.heinote.com,182.254.53.176,腾讯,4.221K,26.138K,30.359K,4.221e-06G,2.6138000000000003e-05G,3.0359000000000002e-05G
,dl-anmfs.duoku.com,182.254.53.194,腾讯,0,30.346K,30.346K,0G,3.0346e-05G,3.0346e-05G
,ta.yunjigloba,211.159.244.160,腾讯,664,29.673K,30.337K,6.64e-07G,2.9673e-05G,3.0336999999999998e-05G
,search.taojindi.com,119.29.237.18,腾讯,13.345K,16.952K,30.297K,1.3345e-05G,1.6952000000000003e-05G,3.0297e-05G
,v2.get.sogou.c,109.244.23.245,其他国家,0,30.264K,30.264K,0G,3.0264e-05G,3.0264e-05G
,pay.qq.com,182.254.21.103,腾讯,0,30.248K,30.248K,0G,3.0248e-05G,3.0248e-05G
,siteres.ztgame.com,182.254.48.202,腾讯,9.546K,20.671K,30.217K,9.546e-06G,2.0671e-05G,3.0217e-05G
,212.64.63.139,212.64.63.139,其他国家,0,30.199K,30.199K,0G,3.0199e-05G,3.0199e-05G
,img3x7.ddimg.cn,121.51.224.63,腾讯,0,30.177K,30.177K,0G,3.0177e-05G,3.0177e-05G
,121.51.77.142,121.51.77.142,腾讯,0,30.163K,30.163K,0G,3.0163e-05G,3.0163e-05G
,act.daoju.qq.com,182.254.52.102,腾讯,513,29.641K,30.154K,5.13e-07G,2.9640999999999996e-05G,3.0154e-05G
,i-1.xdowns.com,152.136.167.143,美国,4.444K,25.704K,30.148K,4.444e-06G,2.5704e-05G,3.0148e-05G
,static.didialift.com,182.254.61.176,腾讯,1.382K,28.745K,30.127K,1.382e-06G,2.8745e-05G,3.0126999999999998e-05G
,www.jinyi2008.com,106.54.216.140,北京市北龙中网,0,30.04K,30.04K,0G,3.004e-05G,3.004e-05G
,image-ddvideo.1sapp.com,182.254.59.158,腾讯,0,30.022K,30.022K,0G,3.0022e-05G,3.0022e-05G
,103.57.15.243,121.51.129.53,腾讯,8.362K,21.564K,29.926K,8.361999999999999e-06G,2.1564e-05G,2.9925999999999998e-05G
,img6-build.jiwu.com,121.51.224.63,腾讯,0,29.92K,29.92K,0G,2.992e-05G,2.992e-05G
,www.zstlive.com,193.112.100.118,其他国家,0,29.903K,29.903K,0G,2.9902999999999998e-05G,2.9902999999999998e-05G
,aayh.golden1.sogou.com,211.159.235.170,腾讯,3.6K,26.224K,29.824K,3.6e-06G,2.6224e-05G,2.9824000000000004e-05G
,pagelet.mafengwo.cn,152.136.8.77,美国,0,29.822K,29.822K,0G,2.9821999999999997e-05G,2.9821999999999997e-05G
,134.175.255.129,134.175.255.129,其他国家,0,29.8K,29.8K,0G,2.98e-05G,2.98e-05G
,adsapi.togothermany.cn,172.81.232.210,其他国家,1.071K,28.682K,29.753K,1.071e-06G,2.8682e-05G,2.9753e-05G
,suggest.123.duba.net,119.29.47.58,腾讯,0,29.732K,29.732K,0G,2.9732e-05G,2.9732e-05G
,novel.670nu.cn,140.143.212.229,河南省郑州市景安计算机网络,0,29.632K,29.632K,0G,2.9632000000000004e-05G,2.9632000000000004e-05G
,www.trjmall.cn,129.204.95.101,美国,24.689K,4.912K,29.601K,2.4689e-05G,4.912e-06G,2.9601e-05G
,so.html5.qq.com,182.254.86.159,腾讯,607,28.957K,29.564K,6.07e-07G,2.8957e-05G,2.9564e-05G
,123.207.92.104:4014,123.207.92.104,腾讯,0,29.564K,29.564K,0G,2.9564e-05G,2.9564e-05G
,xml.tb.sogou.com,211.159.235.170,腾讯,0,29.544K,29.544K,0G,2.9544e-05G,2.9544e-05G
,wxr.qpic.cn,121.51.64.98,腾讯,8.504K,21.038K,29.542K,8.504e-06G,2.1038e-05G,2.9542000000000003e-05G
,i.zhenai.com,182.254.48.108,腾讯,17.077K,12.432K,29.509K,1.7077000000000003e-05G,1.2432e-05G,2.9509e-05G
,123.207.92.104:4020,123.207.92.104,腾讯,0,29.504K,29.504K,0G,2.9504e-05G,2.9504e-05G
,182.254.52.171,182.254.52.171,腾讯,0,29.493K,29.493K,0G,2.9492999999999997e-05G,2.9492999999999997e-05G
,game-1252899349.file.myqcloud.com,182.254.53.105,腾讯,0,29.479K,29.479K,0G,2.9478999999999997e-05G,2.9478999999999997e-05G
,m140.mouxiezhuanjia.com,94.191.54.96,其他国家,0,29.456K,29.456K,0G,2.9456e-05G,2.9456e-05G
,ptupic-1252119740.image.myqcloud.com,121.51.224.25,腾讯,436,28.987K,29.423K,4.36e-07G,2.8987e-05G,2.9423e-05G
,tutuergeimages-1251889355.file.myqcloud.com,182.254.53.92,腾讯,0,29.364K,29.364K,0G,2.9364000000000002e-05G,2.9364000000000002e-05G
,tx2play1.douyucdn.cn,121.51.128.98,腾讯,0,29.364K,29.364K,0G,2.9364000000000002e-05G,2.9364000000000002e-05G
,qianbao.kdnet.net,129.204.115.242,美国,3.298K,26.058K,29.356K,3.298e-06G,2.6058e-05G,2.9356e-05G
,s.baixing.net,182.254.59.174,腾讯,0,29.303K,29.303K,0G,2.9303e-05G,2.9303e-05G
,images.univs.cn,192.144.194.48,其他国家,0,29.27K,29.27K,0G,2.927e-05G,2.927e-05G
,video.wap.mpush.qq.com:80,121.51.0.153,腾讯,2.301K,26.932K,29.233K,2.301e-06G,2.6932e-05G,2.9233000000000003e-05G
,dlimages.miaogame.cn,182.254.53.92,腾讯,0,29.212K,29.212K,0G,2.9211999999999997e-05G,2.9211999999999997e-05G
,182.254.51.125,182.254.51.125,腾讯,1.107K,28.057K,29.164K,1.107e-06G,2.8057e-05G,2.9164000000000004e-05G
,keonline.shanghai.liveplay.qq.com,121.51.120.254,腾讯,198,28.949K,29.147K,1.9800000000000003e-07G,2.8949000000000004e-05G,2.9147e-05G
,beacon.ztgame.com,211.159.201.247,腾讯,1.353K,27.772K,29.125K,1.353e-06G,2.7771999999999998e-05G,2.9125000000000003e-05G
,182.254.52.239,182.254.52.239,腾讯,0,29.091K,29.091K,0G,2.9091000000000003e-05G,2.9091000000000003e-05G
,111.230.77.110,111.230.77.110,湖北省,924,28.144K,29.068K,9.240000000000001e-07G,2.8144e-05G,2.9068e-05G
,nmobile.app1101476220.twsapp.com,123.207.90.246,腾讯,3.041K,26.008K,29.049K,3.0409999999999998e-06G,2.6008e-05G,2.9049e-05G
,121.51.140.143,121.51.140.143,腾讯,17.466K,11.579K,29.045K,1.7466000000000002e-05G,1.1579e-05G,2.9045e-05G
,heai.golden1.sogou.com,211.159.235.73,腾讯,0,28.988K,28.988K,0G,2.8988e-05G,2.8988e-05G
,111.231.46.24:9002,111.231.46.24,湖北省,0,28.98K,28.98K,0G,2.898e-05G,2.898e-05G
,121.51.138.25,121.51.138.25,腾讯,570,28.39K,28.96K,5.699999999999999e-07G,2.839e-05G,2.896e-05G
,121.51.160.149,121.51.160.149,腾讯,0,28.956K,28.956K,0G,2.8956e-05G,2.8956e-05G
,mms.pinduoduo.com,211.159.221.123,腾讯,0,28.928K,28.928K,0G,2.8928e-05G,2.8928e-05G
,img2-build.jiwu.com,182.254.53.176,腾讯,0,28.928K,28.928K,0G,2.8928e-05G,2.8928e-05G
,ggtu.duoduocdn.com,182.254.53.194,腾讯,0,28.882K,28.882K,0G,2.8882000000000002e-05G,2.8882000000000002e-05G
,17roco.qq.com,109.244.216.29,其他国家,0,28.88K,28.88K,0G,2.8879999999999998e-05G,2.8879999999999998e-05G
,static.app100690641.twsapp.com,119.29.236.26,腾讯,0,28.828K,28.828K,0G,2.8828e-05G,2.8828e-05G
,shouyou.sogou.com,109.244.23.87,其他国家,0,28.809K,28.809K,0G,2.8809e-05G,2.8809e-05G
